movieId,user_score,language,budget,revenue
145935.0,69,English,"$99,000,000.00","$246,233,113.00"
145951.0,47,English,-,-
145994.0,75,Russian,-,-
146024.0,72,Russian,-,-
146028.0,78,Russian,-,-
146210.0,56,English,-,-
146244.0,68,Hindi,"$1,300,000.00","$11,000,000.00"
146309.0,80,Japanese,-,"$49,714,378.00"
146656.0,74,English,"$37,000,000.00","$17,360,000.00"
146662.0,71,English,-,-
146682.0,73,English,-,-
146684.0,65,English,-,-
146688.0,64,English,-,"$22,586,863.00"
146730.0,59,English,"$25,000.00","$25,000.00"
146986.0,60,French,-,-
147002.0,56,English,-,-
147142.0,74,French,"$7,508,646.00","$10,890,811.00"
147196.0,75,Russian,-,-
147282.0,64,Russian,-,"$17,808,683.00"
147286.0,79,Russian,-,-
147300.0,73,Russian,-,-
147326.0,75,Russian,-,-
147372.0,77,English,-,-
147374.0,69,English,-,-
147376.0,79,English,-,-
147378.0,74,English,-,-
147380.0,74,English,-,-
147382.0,76,English,-,-
147384.0,77,English,-,-
147410.0,67,English,-,"$1,702,433.00"
147657.0,70,Chinese,-,-
147662.0,67,Chinese,-,-
147936.0,61,Hungarian,-,-
148172.0,59,English,"$38,000,000.00","$109,906,372.00"
148238.0,53,English,-,-
148424.0,58,English,-,-
148482.0,66,English,"$9,600,000.00","$5,383,097.00"
148592.0,57,English,"$400,000.00",-
148626.0,74,English,"$28,000,000.00","$133,346,506.00"
148632.0,62,English,-,-
148652.0,52,English,"$60,000,000.00",-
148667.0,77,English,-,-
148671.0,70,English,"$5,000.00",-
148709.0,50,English,-,-
148775.0,66,English,-,-
148881.0,78,English,-,-
148888.0,49,English,"$50,000,000.00","$56,700,000.00"
148956.0,63,English,"$38,000,000.00","$112,343,513.00"
148978.0,73,Japanese,-,-
148982.0,61,English,-,-
149011.0,62,English,-,-
149144.0,71,Japanese,-,-
149146.0,71,Japanese,-,-
149330.0,55,English,-,-
149334.0,74,English,"$22,500,000.00","$29,300,000.00"
149350.0,50,English,-,-
149352.0,63,English,"$50,000,000.00","$242,786,137.00"
149354.0,59,English,"$30,000,000.00","$105,000,000.00"
149380.0,58,English,-,-
149406.0,69,English,"$145,000,000.00","$521,170,825.00"
149508.0,75,Korean,-,-
149566.0,56,English,-,-
149590.0,60,English,"$8,000,000.00",-
149612.0,50,English,"$8,000,000.00",-
149830.0,61,English,"$28,000,000.00","$16,457,494.00"
149902.0,46,English,-,-
150254.0,63,English,-,"$772,319.00"
150401.0,65,English,"$3,000,000.00",-
150554.0,54,English,-,-
150596.0,80,English,-,-
150604.0,62,English,-,-
150696.0,78,French,-,"$43,471.00"
150993.0,56,Castilian,-,-
151311.0,56,English,-,"$469,311.00"
151315.0,63,English,"$40,000,000.00","$124,827,316.00"
151317.0,57,English,"$2,000,000.00","$3,400,000.00"
151455.0,72,English,"$23,000,000.00","$46,152,411.00"
151479.0,63,English,-,-
151501.0,49,English,-,"$269,915.00"
151557.0,61,English,"$13,500,000.00","$187,674.00"
151559.0,54,English,-,-
151653.0,56,English,-,-
151687.0,62,English,"$20,000,000.00","$46,100,000.00"
151695.0,62,English,-,-
151739.0,59,English,"$11,500,000.00","$94,100,000.00"
151745.0,36,Danish,-,-
151759.0,77,English,-,"$44,695.00"
151769.0,74,Russian,-,-
151777.0,66,English,"$80,000,000.00","$52,099,090.00"
151781.0,74,Japanese,"$3,200,000.00",-
152037.0,71,English,-,-
152063.0,57,English,"$140,000,000.00","$150,680,864.00"
152065.0,77,Castilian,"$1,400,000.00","$1,320,005.00"
152071.0,73,English,"$5,000,000.00","$24,804,129.00"
152077.0,70,English,"$15,000,000.00","$110,216,998.00"
152079.0,62,English,"$60,000,000.00","$205,754,447.00"
152081.0,77,English,"$150,000,000.00","$1,023,784,195.00"
152083.0,63,English,"$35,000,000.00","$48,000,000.00"
152085.0,61,English,-,"$4,924,990.00"
152091.0,59,English,"$35,000,000.00","$28,000,000.00"
152105.0,47,English,-,-
152173.0,82,English,"$1,100,000.00",-
152270.0,63,Italian,-,-
152372.0,59,English,-,"$35,000.00"
152591.0,70,Cantonese,"$36,000,000.00","$157,000,000.00"
152658.0,56,English,-,-
152711.0,0,English,"$350,000.00",-
152970.0,77,English,"$2,500,000.00","$23,900,000.00"
153070.0,68,English,-,-
153236.0,64,Japanese,-,-
153386.0,69,Czech,-,-
153408.0,62,Serbian,"$6,000,000.00",-
154065.0,49,English,-,-
154358.0,74,English,-,-
154975.0,73,French,"$162,297.00",$3.00
155064.0,65,English,"$7,000,000.00","$3,400,000.00"
155168.0,70,German,-,-
155288.0,70,English,"$13,000,000.00","$18,704,595.00"
155358.0,49,English,-,-
155509.0,65,English,"$8,000,000.00","$34,694.00"
155589.0,65,Finnish,-,-
155659.0,67,English,"$29,000,000.00","$48,902,953.00"
155743.0,60,English,"$18,000,000.00","$90,632,641.00"
155774.0,68,Portuguese,"$1,500,000.00",-
155812.0,53,English,"$8,000,000.00",-
155820.0,61,English,"$15,000,000.00","$20,609,977.00"
155892.0,50,English,-,-
156025.0,64,English,-,-
156371.0,64,English,"$10,000,000.00","$3,400,278.00"
156387.0,79,English,"$4,000,000.00","$13,624,522.00"
156553.0,57,English,-,-
156605.0,71,English,"$5,000,000.00","$2,152,738.00"
156607.0,63,English,"$115,000,000.00","$164,989,338.00"
156609.0,58,English,"$35,000,000.00","$108,800,000.00"
156675.0,57,English,-,-
156706.0,51,English,"$9,000,000.00",-
156726.0,67,English,-,-
156781.0,75,English,-,-
156783.0,75,English,-,-
157108.0,61,German,-,-
157110.0,64,German,-,-
157122.0,72,English,-,"$11,472,454.00"
157130.0,58,English,-,-
157172.0,24,English,-,-
157200.0,64,English,"$27,000,000.00","$93,282,604.00"
157270.0,63,English,"$20,000,000.00","$55,030,051.00"
157296.0,70,English,"$200,000,000.00","$1,028,600,000.00"
157312.0,58,English,"$29,000,000.00","$78,600,000.00"
157340.0,62,English,"$73,000,000.00","$349,779,543.00"
157369.0,64,Japanese,-,-
157407.0,55,English,"$18,000,000.00",-
157432.0,51,English,"$10,500,000.00","$567,064.00"
157699.0,71,English,"$40,000,000.00","$37,357,216.00"
157775.0,61,Japanese,-,-
157865.0,58,English,"$20,000,000.00","$8,800,000.00"
158022.0,35,English,-,-
158027.0,69,Korean,-,-
158035.0,80,Japanese,-,-
158238.0,71,English,"$50,000,000.00","$62,800,000.00"
158254.0,49,English,-,-
158388.0,59,English,"$3,500,000.00","$21,700,000.00"
158398.0,71,Swedish,-,-
158402.0,70,Russian,"$10,000,000.00","$27,305,571.00"
158528.0,64,English,"$17,000,000.00","$119,100,000.00"
158721.0,54,Cantonese,-,-
158783.0,82,Korean,"$8,575,000.00","$38,600,000.00"
158813.0,66,English,"$170,000,000.00","$299,457,024.00"
158830.0,63,English,"$140,000,000.00","$195,243,411.00"
158842.0,66,English,-,-
158872.0,57,English,"$19,000,000.00","$140,705,322.00"
158874.0,65,Japanese,-,-
158882.0,57,English,-,-
158956.0,56,English,-,-
158966.0,79,English,"$5,000,000.00","$23,123,592.00"
158972.0,70,German,"$10,000,000.00",-
159061.0,73,Korean,"$10,951,000.00","$49,851,770.00"
159069.0,46,Russian,-,-
159077.0,59,English,"$3,200,000.00","$4,267,218.00"
159093.0,68,English,"$120,000,000.00","$334,900,000.00"
159161.0,72,English,-,-
159193.0,65,English,"$30,000,000.00","$43,763,247.00"
159403.0,68,Japanese,-,-
159415.0,69,English,"$3,000,000.00","$5,800,000.00"
159441.0,57,English,-,-
159510.0,58,Italian,-,-
159690.0,60,English,"$135,000,000.00","$245,600,000.00"
159717.0,73,English,-,-
159755.0,66,English,"$20,000,000.00","$9,500,000.00"
159779.0,53,English,-,-
159811.0,70,Russian,-,-
159849.0,81,English,-,-
159858.0,73,English,"$40,000,000.00","$321,800,000.00"
159976.0,74,English,-,"$27,312.00"
160080.0,54,English,"$144,000,000.00","$229,147,509.00"
160271.0,64,English,"$50,000,000.00","$216,972,543.00"
160289.0,84,English,-,-
160341.0,69,English,-,-
160400.0,65,English,-,"$5,681,622.00"
160422.0,67,English,-,-
160438.0,63,English,"$120,000,000.00","$415,484,914.00"
160440.0,49,English,-,-
160527.0,72,Japanese,-,-
160563.0,59,English,"$180,000,000.00","$356,743,061.00"
160565.0,64,English,"$10,000,000.00","$118,587,880.00"
160567.0,61,English,"$33,000,000.00","$77,100,000.00"
160569.0,61,English,"$105,000,000.00","$408,579,038.00"
160571.0,63,English,"$4,900,000.00","$148,868,835.00"
160573.0,64,English,"$65,000,000.00","$143,695,338.00"
160644.0,64,English,-,"$3,924,527.00"
160646.0,54,English,-,"$23,020.00"
160684.0,58,English,"$15,000,000.00",-
160718.0,82,English,-,-
160730.0,54,English,-,"$15,364.00"
160836.0,66,Japanese,-,-
160848.0,75,French,-,"$921,974.00"
160872.0,43,English,-,"$349,183.00"
160954.0,70,English,"$19,000,000.00","$85,241,496.00"
160978.0,55,Japanese,-,-
160980.0,72,English,"$60,000,000.00","$240,800,000.00"
161008.0,62,English,-,-
161024.0,72,English,-,-
161032.0,66,English,"$7,119.00",-
